naam,color
ruz1,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz1+2,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz1+2+3,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz1+2+3+4,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz2,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz2+3+4,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz3,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz3+4,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
ruz4,"(0.7215686274509804, 0.4823529411764706, 0.9333333333333333)"
s,"(0.7843137254901961, 0.6705882352941176, 0.21568627450980393)"
sha,"(0.611764705882353, 0.6196078431372549, 0.38823529411764707)"
she,"(0.37254901960784315, 0.37254901960784315, 1.0)"
sid,"(0.9490196078431372, 0.5019607843137255, 0.050980392156862744)"
sis,"(0.611764705882353, 0.6196078431372549, 0.38823529411764707)"
slu,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
st,"(0.803921568627451, 0.3607843137254902, 0.3607843137254902)"
sti,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
stk,"(0.22745098039215686, 0.1450980392156863, 0.08627450980392157)"
stk1,"(0.7254901960784313, 0.24313725490196078, 0.16470588235294117)"
stn,"(0.8470588235294118, 0.6392156862745098, 0.12549019607843137)"
stz1,"(0.803921568627451, 0.3607843137254902, 0.3607843137254902)"
stz1+2,"(0.803921568627451, 0.3607843137254902, 0.3607843137254902)"
stz2,"(0.803921568627451, 0.3607843137254902, 0.3607843137254902)"
sy,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syk1,"(0.8431372549019608, 0.6588235294117647, 0.3176470588235294)"
syk2,"(0.8823529411764706, 0.7176470588235294, 0.41568627450980394)"
syk3,"(0.9215686274509803, 0.7764705882352941, 0.5137254901960784)"
syz1,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz1+2,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz1+2+3,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz1+2+3+4,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz2,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz2+3,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz2+3+4,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz3,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz3+4,"(1.0, 0.8941176470588236, 0.7098039215686275)"
syz4,"(1.0, 0.8941176470588236, 0.7098039215686275)"
to,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
togok1,"(0.23529411764705882, 0.4470588235294118, 0.5647058823529412)"
toz1,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
toz1+2,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
toz1+2+3,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
toz2,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
toz2+3,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
toz3,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
tooz3,"(0.35294117647058826, 0.6235294117647059, 0.8588235294117647)"
tozewak1,"(0.27450980392156865, 0.5058823529411764, 0.6627450980392157)"
ur,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urk1,"(0.5843137254901961, 0.4823529411764706, 0.027450980392156862)"
urk2,"(0.6235294117647059, 0.5411764705882353, 0.12549019607843137)"
urk3,"(0.6627450980392157, 0.6, 0.2235294117647059)"
uro,"(0.5647058823529412, 0.5647058823529412, 0.5647058823529412)"
urz1,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz1+2,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz1+2+3,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz1+2+3+4,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz1+2+3+4+5,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
urz2,"(0.7411764705882353, 0.7176470588235294, 0.4196078431372549)"
